序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路類別,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,當事者區分(類別),車輛用途,當事者行動狀態,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,00,03,臺中市,大甲區,0,0,0,5,,,,,,,,,,,,,,,,,,,B03,,,01,,,07,,1,06,04,120.610904,24.349911,3
2,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,00,26,臺中市,東區,0,1,0,5,6,04,01,1,4,4,6,6,4,4,10,5,5,2,15,3,10,2,C03,7,09,02,11,,04,04,1,06,04,120.687598,24.143394,2
3,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,00,28,臺中市,南屯區,0,1,0,5,6,13,08,1,4,4,6,6,4,4,01,4,4,2,17,2,09,2,C03,7,09,07,12,,59,59,1,06,04,120.640507,24.150499,2
4,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,00,34,臺中市,北區,0,2,0,5,6,04,01,1,4,4,6,6,3,1,10,5,5,2,09,3,10,3,B03,7,06,02,01,,59,59,1,13,04,120.667546,24.153806,2
5,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,00,39,臺中市,清水區,0,1,0,5,6,04,09,1,4,4,6,6,1,1,09,4,5,2,19,2,09,2,C03,7,09,11,14,12,59,59,1,12,04,120.560268,24.268417,2
6,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,00,43,臺中市,太平區,0,1,0,7,6,13,07,1,4,4,6,5,4,4,09,5,4,1,17,3,10,3,B01,7,01,02,04,,51,51,1,12,04,120.729040,24.101515,2
7,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,00,45,臺中市,西屯區,0,0,0,5,,,,,,,,,,,,,,,,,,,B02,,,02,,,59,,1,12,04,120.642524,24.181166,3
8,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,01,13,臺中市,西屯區,0,1,0,5,6,03,01,1,4,4,6,6,4,4,10,5,5,2,09,2,08,5,C03,7,09,02,16,,84,84,1,12,04,120.644752,24.173212,2
9,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,01,13,臺中市,外埔區,0,0,0,5,,,,,,,,,,,,,,,17,,,,B12,,,01,,,84,84,1,07,04,120.650815,24.331501,3
10,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,01,24,臺中市,沙鹿區,0,0,0,5,,,,,,,,,,,,,,,16,,,,C03,,,02,,,12,,1,13,04,120.565097,24.242946,3
